Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Democratic Republic of Congo,2022,47.6,14.8,11.8,13.2,74.4,95.7,97.4,28.3,54.0,63.7,68.0,30.0,20.0
Denmark,2022,78.0,98.6,99.5,89.6,42.3,21.1,96.2,89.0,64.4,85.7,79.2,90.0,80.0
Djibouti,2022,55.3,33.1,24.5,28.3,80.0,83.3,92.1,48.6,50.7,69.5,43.2,60.0,50.0
Dominica,2022,54.4,68.1,56.2,81.6,71.6,8.5,1.1,55.8,59.0,84.9,55.6,70.0,40.0
Dominican Republic,2022,63.0,54.0,30.8,55.9,84.6,89.9,66.8,68.1,52.9,73.5,69.0,70.0,40.0
Ecuador,2022,54.3,31.4,37.2,47.3,77.5,59.7,63.1,60.3,57.3,81.5,61.0,35.0,40.0
Egypt,2022,49.1,39.0,28.7,22.1,87.1,75.7,3.7,54.1,32.9,70.9,60.2,65.0,50.0
El Salvador,2022,59.6,43.2,36.1,46.8,77.7,74.7,50.3,65.0,54.6,76.8,69.4,60.0,60.0
Equatorial Guinea,2022,47.2,18.9,6.5,6.9,75.1,91.0,94.8,34.4,46.5,73.0,48.8,40.0,30.0
Eritrea,2022,39.7,8.6,11.1,3.9,72.7,68.6,79.0,30.1,51.2,61.5,69.2,0.0,20.0
Estonia,2022,80.0,91.5,83.9,92.3,81.1,48.4,93.3,86.9,61.1,82.8,79.2,90.0,70.0
Eswatini,2022,51.4,46.1,32.1,36.9,78.6,63.9,15.6,48.9,54.8,77.9,71.8,50.0,40.0
Ethiopia,2022,49.6,38.1,33.2,20.5,78.3,93.0,81.6,42.7,38.8,57.7,61.4,30.0,20.0
Fiji,2022,56.4,53.2,54.3,43.4,86.8,69.6,9.1,58.8,66.0,74.9,55.2,55.0,50.0
Finland,2022,78.3,100.0,96.4,97.8,68.4,10.7,83.2,88.7,65.1,84.9,79.2,85.0,80.0
France,2022,65.9,93.8,75.9,85.5,52.1,0.5,39.1,81.9,58.8,79.1,79.2,75.0,70.0
Gabon,2022,55.8,26.8,24.4,18.6,77.4,90.2,89.5,49.9,54.0,81.5,56.8,60.0,40.0
Georgia,2022,71.8,63.8,64.4,56.4,89.1,72.7,67.1,74.1,61.9,76.0,86.6,80.0,70.0
Germany,2022,76.1,95.7,89.4,95.3,59.9,34.5,90.4,87.2,52.3,79.5,79.2,80.0,70.0
Ghana,2022,59.8,60.7,45.4,57.0,82.8,83.8,7.8,60.9,55.4,70.8,63.0,70.0,60.0
Greece,2022,61.5,76.0,52.3,69.9,59.9,17.9,67.6,70.3,61.1,78.6,79.2,55.0,50.0
Guatemala,2022,63.2,39.8,26.5,36.9,91.5,94.0,83.3,62.1,50.3,79.3,75.0,70.0,50.0
Guinea,2022,54.2,21.4,25.6,27.8,69.3,92.8,92.0,45.4,49.5,69.7,66.4,50.0,40.0
Guinea-Bissau,2022,46.0,29.1,15.9,14.0,88.8,85.8,31.3,31.5,56.4,83.4,55.8,30.0,30.0
Guyana,2022,59.5,46.9,41.5,47.4,67.5,74.8,67.4,63.1,67.3,83.3,69.4,55.0,30.0
Haiti,2022,50.0,24.1,14.3,18.6,81.5,97.0,94.8,33.5,54.7,56.2,65.4,30.0,30.0
Honduras,2022,59.5,40.3,25.4,29.0,82.7,78.7,92.1,56.9,39.1,72.7,71.6,65.0,60.0
Hungary,2022,66.9,75.8,44.4,62.2,84.1,31.6,58.4,77.2,61.2,78.5,79.2,80.0,70.0
Iceland,2022,77.0,97.1,85.3,94.8,72.9,36.8,76.1,83.3,67.4,79.3,81.0,80.0,70.0
India,2022,53.9,49.9,42.4,51.5,79.5,76.2,4.0,63.9,58.2,70.0,71.0,40.0,40.0
Indonesia,2022,64.4,38.6,39.9,43.2,85.3,91.2,80.1,66.6,59.3,80.3,78.6,50.0,60.0
Iran,2022,42.4,26.6,19.8,29.4,80.8,92.5,54.7,38.9,49.4,42.3,59.2,5.0,10.0
Iraq,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2022,82.0,92.6,80.7,93.0,76.5,79.9,89.0,87.2,60.9,85.2,79.2,90.0,70.0
Israel,2022,68.0,83.2,65.2,85.0,60.4,48.4,23.1,81.1,56.5,84.8,78.8,80.0,70.0
Italy,2022,65.4,81.7,57.3,78.6,57.7,20.6,49.0,73.8,70.4,86.2,79.2,80.0,50.0
Jamaica,2022,67.4,65.0,49.0,70.6,76.6,71.6,79.4,56.5,64.7,76.2,69.2,80.0,50.0
Japan,2022,69.9,94.6,81.4,95.3,67.4,52.5,19.7,78.3,66.6,87.1,75.4,60.0,60.0
Jordan,2022,60.1,53.7,49.5,42.6,84.8,71.6,15.9,59.6,57.2,84.2,71.8,70.0,60.0
Kazakhstan,2022,64.4,55.3,37.9,34.5,92.7,86.5,93.5,64.7,62.7,69.1,75.4,50.0,50.0
Kenya,2022,52.6,40.6,30.9,39.0,79.0,82.2,10.6,56.1,56.8,75.5,56.0,55.0,50.0
Kiribati,2022,59.2,70.6,45.4,81.8,69.3,0.0,99.4,63.2,65.1,80.7,80.0,25.0,30.0
Kosovo,2022,60.1,47.4,37.5,31.0,92.5,71.6,67.4,68.0,53.1,79.1,78.6,65.0,30.0
Kuwait,2022,58.3,41.9,43.8,42.0,97.7,4.0,99.7,55.4,52.7,71.7,75.6,55.0,60.0
Kyrgyz Republic,2022,55.8,25.1,28.8,11.8,94.8,66.7,79.0,56.1,52.2,71.4,73.2,60.0,50.0
Laos,2022,49.2,41.1,20.4,11.1,87.2,88.4,44.0,60.5,44.3,71.8,66.8,35.0,20.0
Latvia,2022,74.8,88.5,61.1,75.1,76.4,53.2,91.4,81.9,62.4,83.8,79.2,85.0,60.0
Lebanon,2022,47.3,33.7,22.8,27.4,88.5,77.4,0.0,48.8,54.2,41.1,74.2,50.0,50.0
Lesotho,2022,48.1,45.0,42.8,44.1,77.4,4.5,27.5,44.2,58.3,75.9,62.2,55.0,40.0
Liberia,2022,47.9,32.2,25.1,23.4,86.1,68.0,64.6,34.8,43.2,61.7,60.8,55.0,20.0
Libya,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liechtenstein,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2022,75.8,88.6,66.6,74.6,84.5,59.9,86.5,87.3,59.5,82.3,79.2,70.0,70.0
Luxembourg,2022,80.6,97.4,89.5,96.4,64.1,41.5,98.7,89.3,56.3,80.1,79.2,95.0,80.0
Madagascar,2022,58.9,40.3,23.0,33.4,90.7,92.9,87.8,37.4,56.0,75.9,64.8,55.0,50.0
Malawi,2022,53.0,48.1,29.4,53.0,78.7,87.4,11.0,34.0,56.4,71.1,67.4,50.0,50.0
Malaysia,2022,68.1,65.6,53.9,57.6,83.8,82.9,73.4,67.1,57.0,83.6,82.2,60.0,50.0
Maldives,2022,47.3,47.2,43.1,32.1,96.9,55.2,0.0,39.8,51.6,77.2,60.0,35.0,30.0
Mali,2022,55.9,34.0,28.3,34.1,69.8,83.9,70.8,44.2,54.2,82.8,64.0,65.0,40.0
Malta,2022,71.5,87.8,55.8,89.9,69.0,54.6,86.2,75.5,61.8,78.5,79.2,70.0,50.0
Mauritania,2022,55.3,36.9,23.5,29.9,75.2,89.4,92.9,35.7,48.9,80.3,60.6,50.0,40.0
Mauritius,2022,70.9,85.6,56.5,81.7,91.3,73.4,6.8,72.0,69.8,75.9,87.4,80.0,70.0
Mexico,2022,63.7,47.7,32.0,40.7,76.0,78.3,78.0,69.2,58.4,73.0,76.6,75.0,60.0
Micronesia,2022,61.0,54.3,56.8,82.2,80.7,0.0,99.5,52.4,81.5,84.3,74.8,35.0,30.0
Moldova,2022,61.3,55.9,34.7,30.7,94.1,68.1,87.2,64.2,46.4,72.4,76.6,55.0,50.0
